@relation 'APFNBTraining-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16-weka.filters.unsupervised.attribute.Reorder-R1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16'

@attribute E30 numeric
@attribute E60 numeric
@attribute E90 numeric
@attribute E+90 numeric
@attribute MoraMaxima numeric
@attribute ESTRATO {1,2,3,4,5,6}
@attribute DeudaCorrienteNoVencida numeric
@attribute DeudaCorrienteVencida numeric
@attribute SaldoDiferido numeric
@attribute CantHistoriaRefi numeric
@attribute CantRefiUltimoAño numeric
@attribute Vetado {0,1}
@attribute Refinanciado {0,1}
@attribute NumeroSuspensiones numeric
@attribute NumeroReconexiones numeric
@attribute 90 {0,1}

@data
2,0,0,0,20,1,12060,12050,77135,0,0,0,0,0,0,0
6,0,0,0,17,2,137187,136883,1880394,0,0,0,0,0,0,0
5,5,1,0,84,1,109745,109651,3809305,1,1,0,1,0,0,0
3,0,0,0,6,1,0,119835,1970626,0,0,0,0,0,0,0
5,1,0,0,36,1,0,69299,949311,0,0,0,0,0,0,0
6,0,0,0,19,2,0,12060,0,0,0,0,0,0,0,0
9,0,0,0,9,1,0,337427,2870071,0,0,0,0,0,0,0
7,0,0,0,18,3,200691,159865,2426416,0,0,0,0,0,0,0
5,2,0,0,31,1,94919,95758,755481,0,0,0,0,0,0,0
13,0,0,0,29,3,80463,80218,504336,0,0,0,0,0,0,0
1,0,0,0,25,1,25186,24997,3066342,1,0,0,1,0,0,0
8,3,0,0,49,3,0,25337,442379,1,0,0,1,0,0,0
11,0,0,0,15,2,0,106207,3243412,0,0,0,0,0,0,0
6,0,0,0,9,2,0,24781,157826,0,0,0,0,0,0,0
1,0,0,0,9,1,0,224283,5357617,0,0,0,0,0,0,0
8,0,0,0,12,3,0,140270,1240879,0,0,0,0,0,0,0
6,0,0,0,6,1,0,108755,1896303,0,0,0,0,0,0,0
4,0,0,0,19,1,1903,147003,0,0,0,0,0,0,0,0
9,1,0,0,37,1,0,285578,1854748,0,0,0,0,0,0,0
1,0,0,0,19,1,72582,72363,1320332,0,0,0,0,0,0,0
3,0,0,0,20,1,117133,116401,1759545,0,0,0,0,0,0,0
10,1,0,0,51,1,120248,120490,1132969,0,0,0,0,0,0,0
5,0,1,1,102,1,0,39856,1430075,4,1,0,1,0,0,0
4,2,0,0,40,3,0,88491,2715748,0,0,0,0,0,0,0
13,0,0,0,12,3,0,66547,1322058,0,0,0,0,0,0,0
5,1,0,0,42,2,0,49384,748094,0,0,0,0,0,0,0
5,0,0,0,8,1,0,54583,1702813,0,0,0,0,0,0,0
6,0,0,0,25,1,14519,14458,0,0,0,0,0,0,0,0
10,0,0,0,14,3,0,66937,0,0,0,0,0,0,0,0
7,4,1,0,62,1,0,72215,2336484,1,1,0,1,0,0,0
8,0,0,0,12,1,0,71617,623140,0,0,0,0,0,0,0
6,0,0,0,18,1,0,49281,954713,0,0,0,0,0,0,0
8,0,0,0,18,1,0,103718,993068,0,0,0,0,0,0,0
8,0,0,0,22,1,46709,46821,758126,0,0,0,0,0,0,0
10,2,1,0,69,2,0,67047,475084,0,0,0,0,0,0,0
8,1,0,0,43,2,0,122432,1032760,0,0,0,0,0,0,0
2,0,0,0,29,3,143413,143160,1365917,0,0,0,0,0,0,0
10,0,0,0,13,2,0,64100,512658,0,0,0,0,0,0,0
13,0,0,0,14,1,0,43957,1302520,0,0,0,0,0,0,0
1,0,0,0,5,1,0,51830,650043,0,0,0,0,0,0,0
10,0,0,0,30,1,2501,91308,0,0,0,0,0,0,0,0
11,1,0,0,39,1,0,465,0,0,0,0,0,0,0,0
3,4,1,0,72,1,0,58138,1960405,1,1,0,1,0,0,0
6,0,0,0,17,2,0,94202,696885,0,0,0,0,0,0,0
9,0,0,0,5,1,0,71620,1939521,0,0,0,0,0,0,0
12,0,0,0,20,3,0,63780,1035940,0,0,0,0,0,0,0
3,0,0,0,4,1,0,66997,2075417,0,0,0,0,0,0,0
7,0,0,0,7,1,0,84992,82598,0,0,0,0,0,0,0
2,0,0,0,9,1,0,31648,147022,0,0,0,0,0,0,0
4,0,0,0,15,1,198023,112608,2677313,0,0,0,0,0,0,0
11,0,0,0,26,1,102641,102928,2301294,0,0,0,0,0,0,0
12,0,0,0,23,3,43266,43223,1042991,0,0,0,0,0,0,0
5,0,0,0,18,1,131386,130758,1953298,1,0,0,1,0,0,0
8,3,1,0,74,2,0,62051,971319,1,0,0,1,0,0,0
1,0,0,0,15,1,0,154628,1913817,0,0,0,0,0,0,0
13,0,0,0,19,3,0,72176,1082384,0,0,0,0,0,0,0
10,0,0,0,10,1,0,210847,1110738,0,0,0,0,0,0,0
6,0,0,0,21,1,116588,117112,2235282,0,0,0,0,0,0,0
4,0,0,0,24,2,206281,143729,3048613,0,0,0,0,0,0,0
7,1,0,0,31,1,43634,43422,1166595,1,0,0,1,0,0,0
6,0,0,0,9,1,0,123214,715895,0,0,0,0,0,0,0
12,0,0,0,9,1,0,87154,403592,0,0,0,0,0,0,0
7,4,0,0,37,1,0,1908,0,0,0,0,0,0,0,0
3,0,0,0,8,1,0,122966,1451812,0,0,0,0,0,0,0
6,0,0,0,26,4,143501,73796,3084724,0,0,0,0,0,0,0
12,0,0,0,29,1,158142,80788,2128506,0,0,0,0,0,0,0
8,0,0,0,30,2,99665,99475,1377516,0,0,0,0,0,0,0
10,2,0,0,57,1,41875,41522,366727,1,0,0,1,0,0,0
6,0,0,0,4,3,0,49141,779966,0,0,0,0,0,0,0
12,0,0,0,12,2,0,47384,777758,0,0,0,0,0,0,0
10,1,0,0,37,1,0,189058,1199178,0,0,0,0,0,0,0
6,0,0,0,14,1,0,4735,0,0,0,0,0,0,0,0
6,0,0,0,15,3,0,68078,849640,0,0,0,0,0,0,0
2,0,0,0,11,1,0,412720,4577548,0,0,0,0,0,0,0
1,0,0,0,5,1,0,164396,4290685,0,0,0,0,0,0,0
11,0,0,0,9,1,0,232212,5367317,0,0,0,0,0,0,0
6,0,0,0,21,1,154414,154359,3962487,0,0,0,0,0,0,0
6,2,0,0,52,1,97685,97249,1117885,0,0,0,0,0,0,0
7,2,0,0,52,1,211340,211196,5333594,0,0,0,0,0,0,0
10,0,0,0,9,1,0,93512,1977397,2,0,0,1,0,0,0
4,0,0,0,15,1,0,53195,51457,0,0,0,0,0,0,0
11,2,0,0,44,3,0,59850,425035,0,0,0,0,0,0,0
8,1,0,0,39,2,0,70591,496863,0,0,0,0,0,0,0
1,0,0,0,17,1,0,103473,3072764,0,0,0,0,0,0,0
11,1,0,0,39,1,0,43522,969990,0,0,0,0,0,0,0
11,1,0,0,36,1,0,40716,0,0,0,0,0,0,0,0
13,0,0,0,22,2,52674,52521,1051265,1,0,0,1,0,0,0
12,0,0,0,10,1,0,64901,1759236,1,0,0,1,0,0,0
9,4,0,0,35,1,0,123089,232937,0,0,0,0,0,0,0
5,0,0,0,13,1,0,101262,2277928,0,0,0,0,0,0,0
12,0,0,0,17,1,0,186418,1593877,0,0,0,0,0,0,0
7,1,0,0,36,1,0,108211,2183116,0,0,0,0,0,0,0
13,0,0,0,9,1,0,96908,1437939,0,0,0,0,0,0,0
3,0,0,0,8,2,0,265258,1891096,0,0,0,0,0,0,0
8,2,1,0,81,1,27072,27014,591968,0,0,0,0,0,0,0
9,1,0,0,53,3,97454,97404,996934,0,0,0,0,0,0,0
7,0,0,0,20,3,114688,114598,2322882,0,0,0,0,0,0,0
13,0,0,0,18,1,0,85061,315395,0,0,0,0,0,0,0
12,0,0,0,23,1,101533,101348,722470,0,0,0,0,0,0,0
4,0,0,0,8,1,0,60766,1365103,0,0,0,0,0,0,0
7,0,0,0,15,1,0,51592,0,0,0,0,0,0,0,0
6,1,1,1,104,3,0,92503,3177195,1,1,0,1,0,0,0
11,1,0,0,41,2,0,128141,2908779,0,0,0,0,0,0,0
11,1,0,0,39,1,0,35998,228626,0,0,0,0,0,0,0
12,0,0,0,18,2,0,73602,1087257,0,0,0,0,0,0,0
4,0,0,0,10,1,0,98162,1156372,0,0,0,0,0,0,0
7,4,0,0,40,1,0,398,0,0,0,0,0,0,0,0
1,0,0,0,5,1,0,154487,4432317,0,0,0,0,0,0,0
4,0,0,0,22,3,45290,45525,397789,0,0,0,0,0,0,0
6,1,0,0,31,1,91453,90982,515982,0,0,0,0,0,0,0
3,0,0,0,19,3,139054,138210,984546,0,0,0,0,0,0,0
7,0,0,0,13,1,0,9399,237450,1,0,0,1,0,0,0
7,2,1,0,69,1,0,52893,591952,0,0,0,0,0,0,0
6,0,0,0,17,3,0,25935,331768,0,0,0,0,0,0,0
1,0,0,0,2,1,0,103291,3289303,0,0,0,0,0,0,0
7,1,0,0,47,3,38062,38214,776110,0,0,0,0,0,0,0
11,1,0,0,48,2,32658,32498,205350,0,0,0,0,0,0,0
5,4,1,0,82,1,83679,83647,1547310,1,1,0,1,0,0,0
11,0,0,0,15,1,0,145695,1501391,0,0,0,0,0,0,0
8,1,0,0,38,1,0,180291,1855282,0,0,0,0,0,0,0
2,0,0,0,29,4,14365,14418,0,0,0,0,0,0,0,0
10,0,0,0,9,2,0,132643,2889874,0,0,0,0,0,0,0
5,0,0,0,25,3,78589,78683,1237008,0,0,0,0,0,0,0
10,1,0,0,31,1,112257,111817,2341150,0,0,0,0,0,0,0
7,0,0,0,29,3,112833,113811,1239806,0,0,0,0,0,0,0
7,2,1,0,80,1,61288,60910,1501520,1,1,0,1,0,0,0
9,3,0,0,36,2,0,78260,914624,0,0,0,0,0,0,0
2,0,0,0,9,2,0,1152,1330000,0,0,0,0,0,0,0
3,0,0,0,4,1,0,38079,1211227,0,0,0,0,0,0,0
4,0,0,0,9,3,0,69049,495835,0,0,0,0,0,0,0
10,1,0,0,41,1,0,74041,988878,0,0,0,0,0,0,0
13,0,0,0,19,3,0,54671,0,0,0,0,0,0,0,0
1,0,0,0,13,2,0,160925,2013030,0,0,0,0,0,0,0
1,0,0,0,30,1,41241,41258,1160399,0,0,0,0,0,0,0
12,0,0,0,22,1,90370,90877,1890133,0,0,0,0,0,0,0
8,1,1,0,83,1,75586,75323,655606,0,0,0,0,0,0,0
3,1,0,0,41,2,0,63248,742628,0,0,0,0,0,0,0
7,0,0,0,12,3,0,100188,717716,0,0,0,0,0,0,0
4,8,0,0,40,2,0,89939,2562512,0,0,0,0,0,0,0
12,0,0,0,12,1,0,200076,1728556,0,0,0,0,0,0,0
12,0,0,0,13,2,0,64670,242322,0,0,0,0,0,0,0
1,0,0,0,2,1,0,42870,1359333,0,0,0,0,0,0,0
5,5,1,0,65,1,0,14165,480165,3,1,0,1,0,0,0
10,0,0,0,18,2,0,46316,88106,0,0,0,0,0,0,0
7,0,0,0,20,1,0,99000,1925016,0,0,0,0,0,0,0
7,0,0,0,26,2,72690,72064,0,0,0,0,0,0,0,0
2,0,0,0,19,1,185097,372720,1140194,0,0,0,0,0,0,0
2,0,0,0,15,4,0,123798,3229806,0,0,0,0,0,0,0
6,5,1,0,73,2,0,140052,2317142,0,0,0,0,0,0,0
3,0,0,0,5,1,0,118624,2502868,0,0,0,0,0,0,0
6,1,0,0,41,2,0,98512,1889522,0,0,0,0,0,0,0
5,0,0,0,5,1,0,76766,2304304,0,0,0,0,0,0,0
6,1,0,0,37,1,0,111560,2027674,0,0,0,0,0,0,0
2,0,0,0,4,1,0,94614,2815941,0,0,0,0,0,0,0
1,0,0,0,25,1,94762,94635,2808325,0,0,0,0,0,0,0
2,0,0,0,3,3,0,17561,17165,0,0,0,0,0,0,0
9,1,0,0,43,2,0,54116,1474004,1,1,0,1,0,0,0
13,0,0,0,17,2,0,52821,800519,0,0,0,0,0,0,0
5,0,0,0,12,1,0,243286,5713074,0,0,0,0,0,0,0
3,0,0,0,17,3,0,49811,565032,0,0,0,0,0,0,0
1,0,0,0,9,1,0,92301,2205017,0,0,0,0,0,0,0
4,0,0,0,10,2,0,98369,0,0,0,0,0,0,0,0
5,0,0,0,8,1,0,44222,547651,0,0,0,0,0,0,0
11,0,0,0,18,2,61211,61207,0,0,0,0,0,0,0,0
3,0,0,0,26,1,80152,79827,1765923,0,0,0,0,0,0,0
9,0,0,0,22,3,105867,105267,1982092,0,0,0,0,0,0,0
5,1,1,1,102,1,0,22905,510508,1,0,0,1,0,0,0
13,0,0,0,10,3,0,131439,2056631,0,0,0,0,0,0,0
11,2,0,0,41,3,0,158946,2358746,0,0,0,0,0,0,0
4,1,0,0,43,1,0,51112,1100730,0,0,0,0,0,0,0
12,0,0,0,24,4,101645,101772,1352839,0,0,0,0,0,0,0
10,0,0,0,23,1,150453,150655,1966820,0,0,0,0,0,0,0
4,1,0,0,59,3,76544,76178,2574780,1,1,0,1,0,0,0
12,0,0,0,6,1,0,36578,2077886,0,0,0,0,0,0,0
11,0,0,0,9,1,0,139566,2164841,0,0,0,0,0,0,0
4,0,0,0,17,3,0,12114,11875,0,0,0,0,0,0,0
3,0,0,0,9,1,0,86052,1416914,0,0,0,0,0,0,0
9,0,0,0,21,2,56619,56479,704487,0,0,0,0,0,0,0
10,0,0,0,27,1,38496,38319,856684,0,0,0,0,0,0,0
3,0,0,0,29,3,197186,194791,2078771,0,0,0,0,0,0,0
2,0,1,0,87,1,122307,122779,1375388,1,1,0,1,0,0,0
9,0,0,0,15,2,0,85990,163465,0,0,0,0,0,0,0
4,0,0,0,9,1,0,137017,1518233,0,0,0,0,0,0,0
6,0,0,0,10,1,0,60651,1626401,0,0,0,0,0,0,0
2,0,0,0,6,4,0,117833,2417603,0,0,0,0,0,0,0
8,0,0,0,12,1,0,36455,819021,0,0,0,0,0,0,0
7,0,0,0,29,3,2290,83831,0,0,0,0,0,0,0,0
2,0,0,0,14,2,0,55575,3209466,0,0,0,0,0,0,0
10,0,0,0,22,1,50316,51258,627308,0,0,0,0,0,0,0
9,0,0,0,21,1,68597,68672,540551,0,0,0,0,0,0,0
9,0,0,0,22,1,96045,95924,896776,0,0,0,0,0,0,0
3,2,2,3,162,2,0,34420,1222556,2,2,1,1,0,0,0
6,0,0,0,15,2,0,92365,341856,0,0,0,0,0,0,0
8,0,0,0,12,3,0,119022,649204,0,0,0,0,0,0,0
7,0,0,0,11,2,0,45522,251192,0,0,0,0,0,0,0
11,0,0,0,7,1,0,81515,2883991,0,0,0,0,0,0,0
9,2,1,0,79,3,0,1090,0,0,0,0,0,0,0,0
4,0,0,0,8,1,0,31851,31117,0,0,0,0,0,0,0
6,2,2,1,100,1,0,18372,698307,5,2,1,1,0,0,0
3,0,0,0,17,3,0,86749,965508,0,0,0,0,0,0,0
2,0,0,0,30,1,196188,195216,3322771,0,0,0,0,0,0,0
7,0,0,0,14,3,0,90169,792212,0,0,0,0,0,0,0
3,10,0,0,39,1,0,83290,78936,0,0,0,0,0,0,0
8,3,0,0,58,2,206461,125618,3192340,0,0,0,0,0,0,0
8,0,0,0,23,3,182706,181997,2253220,0,0,0,0,0,0,0
9,4,0,0,41,2,0,78341,496530,0,0,0,0,0,0,0
3,1,0,0,35,1,0,113600,2053621,0,0,0,0,0,0,0
5,0,0,0,30,2,81792,81776,1062890,0,0,0,0,0,0,0
13,0,0,0,25,1,96326,95726,0,0,0,0,0,0,0,0
4,0,0,0,8,1,0,32510,1750789,0,0,0,0,0,0,0
2,0,0,0,9,1,0,54913,833932,0,0,0,0,0,0,0
13,0,0,0,22,1,1245,2247,0,0,0,0,0,0,0,0
8,1,0,0,35,1,0,57645,1546989,1,0,0,1,0,0,0
12,0,0,0,14,2,0,144876,2782470,0,0,0,0,0,0,0
8,0,0,0,10,1,0,9312,67169,0,0,0,0,0,0,0
6,0,0,0,10,1,0,112737,1400482,0,0,0,0,0,0,0
2,0,0,0,9,1,0,56249,1417281,0,0,0,0,0,0,0
11,0,0,0,18,3,0,444,0,0,0,0,0,0,0,0
8,3,0,0,39,1,0,70983,1368981,0,0,0,0,0,0,0
11,0,0,0,22,2,98007,97657,851393,0,0,0,0,0,0,0
3,0,0,0,23,3,70778,70287,1479555,0,0,0,0,0,0,0
13,0,0,0,18,1,158181,158327,1510864,0,0,0,0,0,0,0
4,0,0,0,20,1,10967,10881,97330,1,0,0,1,0,0,0
12,0,0,0,10,1,0,193196,2358918,0,0,0,0,0,0,0
10,0,0,0,17,3,0,136875,748569,0,0,0,0,0,0,0
4,0,0,0,13,1,0,55032,1045037,0,0,0,0,0,0,0
8,1,0,0,51,1,82475,82544,2346582,0,0,0,0,0,0,0
11,0,0,0,26,3,171818,171968,1756522,0,0,0,0,0,0,0
8,2,1,0,81,3,159006,158942,3862303,1,1,0,1,0,0,0
11,2,0,0,40,1,0,106061,2732269,0,0,0,0,0,0,0
4,1,0,0,38,1,0,81508,377450,0,0,0,0,0,0,0
9,0,0,0,19,2,0,31939,0,0,0,0,0,0,0,0
1,0,0,0,8,2,0,44479,782173,0,0,0,0,0,0,0
4,0,0,0,25,2,104821,104376,1485320,0,0,0,0,0,0,0
13,0,0,0,27,1,46806,46717,817143,0,0,0,0,0,0,0
11,2,0,0,57,2,119882,119583,558741,0,0,0,0,0,0,0
10,2,0,0,52,2,72023,72009,2149965,1,0,0,1,0,0,0
1,0,0,0,8,2,0,130756,3087035,0,0,0,0,0,0,0
9,1,0,0,37,1,0,53301,1168442,0,0,0,0,0,0,0
12,0,0,0,13,1,0,83859,1342418,0,0,0,0,0,0,0
8,2,0,0,37,2,0,93131,1226978,0,0,0,0,0,0,0
11,0,0,0,13,1,0,125598,2339980,0,0,0,0,0,0,0
12,0,0,0,8,1,0,126350,0,0,0,0,0,0,0,0
2,0,0,0,14,2,0,171614,2815045,0,0,0,0,0,0,0
9,2,0,0,31,1,152068,153981,1930110,0,0,0,0,0,0,0
12,1,0,0,50,1,32163,32465,228588,0,0,0,0,0,0,0
4,0,0,0,20,1,113471,112519,1681825,0,0,0,0,0,0,0
8,3,1,0,78,1,0,66116,1726472,2,1,0,1,0,0,0
8,2,0,0,47,2,0,62313,903515,0,0,0,0,0,0,0
13,0,0,0,15,3,0,147049,2434179,0,0,0,0,0,0,0
12,0,0,0,17,2,0,84742,254363,0,0,0,0,0,0,0
1,0,0,0,15,1,0,108545,598485,0,0,0,0,0,0,0
12,1,0,0,36,1,0,30013,84617,0,0,0,0,0,0,0
9,0,0,0,23,1,400,22874,0,0,0,0,0,0,0,0
3,1,1,3,157,2,0,145901,283484,1,1,0,1,0,0,0
4,2,1,2,147,1,70843,70631,2631796,5,2,1,1,0,0,0
3,1,0,0,49,2,0,75141,1436078,0,0,0,0,0,0,0
6,3,0,0,36,1,0,56752,918464,0,0,0,0,0,0,0
10,0,0,0,24,4,160554,170718,2193449,0,0,0,0,0,0,0
13,0,0,0,17,2,0,51184,731381,0,0,0,0,0,0,0
12,0,0,0,21,2,0,909,0,0,0,0,0,0,0,0
12,1,0,0,52,1,5146,193399,0,0,0,0,0,0,0,0
10,0,0,0,26,2,78815,78739,292256,0,0,0,0,0,0,0
7,0,0,0,4,1,0,140831,271597,0,0,0,0,0,0,0
6,0,0,0,30,1,126296,199301,1702927,0,0,0,0,0,0,0
7,3,1,0,79,1,64393,63901,1056496,0,0,0,0,0,0,0
6,2,0,0,43,2,0,49733,141851,0,0,0,0,0,0,0
9,0,0,0,25,2,1533,2159,0,0,0,0,0,0,0,0
5,0,0,0,14,2,0,46254,374548,1,0,0,1,0,0,0
4,0,0,0,18,2,0,85777,1960912,0,0,0,0,0,0,0
1,0,0,0,11,1,0,173303,2298986,0,0,0,0,0,0,0
8,0,0,0,14,3,0,26480,167564,0,0,0,0,0,0,0
2,0,0,0,16,1,0,54769,524006,0,0,0,0,0,0,0
6,0,0,0,11,1,0,117094,225877,0,0,0,0,0,0,0
11,2,0,0,39,1,0,94795,2157840,0,0,0,0,0,0,0
12,0,0,0,28,2,84217,1496,2683671,0,0,0,0,0,0,0
2,0,0,0,25,5,173453,175181,5459843,0,0,0,0,0,0,0
3,0,0,0,24,3,145535,181006,2957194,0,0,0,0,0,0,0
6,3,1,0,69,1,0,33675,1146985,1,1,0,1,0,0,0
7,5,0,0,46,3,0,177968,2218007,0,0,0,0,0,0,0
12,0,0,0,14,3,0,210995,3475972,0,0,0,0,0,0,0
11,0,0,0,4,1,0,113476,2880503,0,0,0,0,0,0,0
13,0,0,0,22,1,69627,70055,817488,0,0,0,0,0,0,0
11,0,0,0,20,2,181019,180746,2866254,0,0,0,0,0,0,0
3,3,2,0,80,1,161997,161259,2193361,1,1,0,1,0,0,0
1,0,0,0,16,1,0,66699,1437062,0,0,0,0,0,0,0
5,0,0,0,8,1,0,33362,589737,0,0,0,0,0,0,0
11,2,0,0,46,1,0,33554,0,0,0,0,0,0,0,0
6,0,0,0,8,1,0,167052,2063576,0,0,0,0,0,0,0
9,0,0,0,27,2,76979,76924,2047530,0,0,0,0,0,0,0
8,0,0,0,23,1,135305,135317,2203322,0,0,0,0,0,0,0
6,0,0,0,20,1,128585,187906,910053,0,0,0,0,0,0,0
9,0,0,0,13,2,0,69084,600819,0,0,0,0,0,0,0
7,1,0,0,36,2,0,56505,1204518,0,0,0,0,0,0,0
12,1,0,0,44,1,0,129007,2129162,0,0,0,0,0,0,0
9,2,0,0,32,2,0,129579,2629609,0,0,0,0,0,0,0
12,0,0,0,12,1,0,48243,824727,0,0,0,0,0,0,0
6,0,0,0,10,2,0,149560,143445,0,0,0,0,0,0,0
6,6,0,0,45,2,0,72734,273208,0,0,0,0,0,0,0
3,0,0,0,21,1,86410,85803,1703611,0,0,0,0,0,0,0
13,0,0,0,26,3,163453,89320,3030649,0,0,0,0,0,0,0
9,0,0,0,22,1,44589,44644,422316,0,0,0,0,0,0,0
3,1,1,1,135,2,0,42611,1753853,8,2,1,1,0,0,0
3,0,0,0,10,2,0,153280,4234259,0,0,0,0,0,0,0
10,1,0,0,40,3,0,156481,2502912,0,0,0,0,0,0,0
8,0,0,0,9,2,0,124937,2931756,0,0,0,0,0,0,0
11,0,0,0,20,1,0,102350,2888659,0,0,0,0,0,0,0
8,1,0,0,34,1,0,114481,1095008,0,0,0,0,0,0,0
2,0,0,0,16,2,45694,45209,0,0,0,0,0,0,0,0
5,2,2,0,71,1,0,39348,1385430,3,2,1,1,0,0,0
8,1,1,1,99,1,0,99010,3557065,3,2,1,1,0,0,0
2,0,0,0,9,2,0,227561,3762244,0,0,0,0,0,0,0
6,0,0,0,21,1,83727,83265,573096,0,0,0,0,0,0,0
12,0,0,0,21,2,1244,42509,0,0,0,0,0,0,0,0
10,2,0,0,39,2,0,74379,1081018,0,0,0,0,0,0,0
2,0,0,0,30,1,125859,124771,1890796,0,0,0,0,0,0,0
7,0,0,0,27,2,98504,98374,1429914,0,0,0,0,0,0,0
7,1,0,0,47,1,131219,130905,1710804,0,0,0,0,0,0,0
13,0,0,0,27,2,51808,51662,1074165,0,0,0,0,0,0,0
6,0,0,0,26,4,136805,136639,1783735,0,0,0,0,0,0,0
6,1,0,0,41,2,0,46907,1499016,0,0,0,0,0,0,0
10,0,0,0,30,1,115427,115266,2013604,0,0,0,0,0,0,0
3,0,0,0,15,3,0,81656,1866070,0,0,0,0,0,0,0
13,0,0,0,23,1,0,351,0,0,0,0,0,0,0,0
7,4,1,0,71,1,0,120797,1078559,1,1,0,1,0,0,0
12,0,0,0,20,2,0,42781,303785,0,0,0,0,0,0,0
2,0,0,0,6,1,0,200512,4614259,0,0,0,0,0,0,0
9,1,0,0,36,2,0,49850,786960,0,0,0,0,0,0,0
1,0,0,0,16,1,0,128974,1969545,0,0,0,0,0,0,0
5,1,0,0,49,1,1,11973,0,0,0,0,0,0,0,0
2,0,0,0,8,1,0,58560,1360684,0,0,0,0,0,0,0
1,0,0,0,23,2,198076,309736,628200,0,0,0,0,0,0,0
6,0,0,0,30,4,107073,106150,1607895,0,0,0,0,0,0,0
7,0,0,0,23,3,100882,100490,721675,0,0,0,0,0,0,0
8,0,0,0,12,3,0,111005,2314476,0,0,0,0,0,0,0
3,0,0,0,18,3,0,59498,808041,0,0,0,0,0,0,0
3,0,0,0,6,1,0,93747,1484186,0,0,0,0,0,0,0
9,0,0,0,21,1,111421,111470,2009454,0,0,0,0,0,0,0
10,3,0,0,50,1,56932,56424,620821,0,0,0,0,0,0,0
1,0,0,0,17,1,0,87386,3050222,0,0,0,0,0,0,0
6,0,0,0,8,1,0,127503,2078797,0,0,0,0,0,0,0
2,0,0,0,17,2,432,41898,0,0,0,0,0,0,0,0
2,0,0,0,5,1,0,133960,1470836,0,0,0,0,0,0,0
1,0,0,0,18,2,176220,176245,2911366,0,0,0,0,0,0,0
11,1,0,0,48,1,72719,72686,1064080,0,0,0,0,0,0,0
12,0,0,0,22,1,51425,51052,235070,0,0,0,0,0,0,0
1,0,0,0,5,2,0,144641,2560601,0,0,0,0,0,0,0
8,1,0,0,37,2,0,72891,2015522,0,0,0,0,0,0,0
12,0,0,0,10,1,0,142716,2857013,0,0,0,0,0,0,0
6,0,0,0,8,2,0,189209,2619479,0,0,0,0,0,0,0
13,0,0,0,10,1,0,49628,306459,0,0,0,0,0,0,0
11,0,0,0,27,3,0,1109,0,0,0,0,0,0,0,0
9,0,0,0,14,2,0,249362,829577,0,0,0,0,0,0,0
6,2,0,0,31,2,81816,81157,303399,0,0,0,0,0,0,0
